feature,importance
rolling_mean_7,288527172.75788856
ewm_a08_lag1,77186346.25661442
ewm_a05_lag1,36659305.36606504
same_weekday_mean_2w,8052698.404351398
same_weekday_mean_4w,4554532.533265248
ewm_a02_lag1,3683008.9283058196
rolling_mean_14,2105452.521905914
same_weekday_mean_safe,1542308.5265325457
rolling_max_7,1418388.7101618946
month,1220902.408020258
day,1031652.577487275
lag_1,1026499.1002050489
dayofweek,874864.1692643166
lag_7,583437.1713804901
weekofyear,462813.5379257947
rolling_std_lag16_14,440780.42932501435
store_family_target_enc,405943.2630275786
rolling_min_7,376912.9972125143
family_target_enc,293955.909735024
onpromotion,262008.07913158834
lag_42,238653.23657114804
holiday_type,225107.63044768572
store_family_expanding_mean,222576.04483947158
lag_35,217683.47915534675
dcoilwtico,202501.49944917858
rolling_mean_56,196197.6633055508
rolling_mean_lag16_7,194669.5772420913
store_family_sales_share,192050.42428202927
family,184882.94671329856
is_month_start,151117.13341644406
store_nbr,147689.57499603927
oil_change_7d,143645.24090626836
rolling_std_7,143301.86824907362
lag_14,137259.811819762
oil_lag_7,134773.14556510746
oil_change_14d,132988.71284483373
oil_deviation_28,126105.93707251549
rolling_mean_28,114040.08327054977
rolling_mean_lag16_14,100241.25436194241
oil_rolling_mean_7,98910.4689386785
lag_30,97496.93565653265
ewm_a05_lag16,95560.36023442447
ewm_a08_lag16,94790.82254502177
rolling_std_28,83953.45562851429
oil_lag_14,81915.81274320185
lag_28,76030.37944625318
rolling_mean_lag16_28,71843.71574382484
lag_21,68272.15991486609
oil_rolling_mean_28,63594.188470065594
quarter,61924.55492936075
year,59120.223460406065
cluster,56446.23031574488
lag_16,55447.08555279672
ewm_a02_lag16,53696.004653304815
locale_name,52561.5998018831
city,50758.184937655926
lag_17,49652.037788808346
locale,48269.1078183651
is_weekend,41081.340120092034
state,40989.74701553583
promo_rolling_sum_28,36565.78252851963
type,32845.98482374847
promo_lag_7,24013.88998027146
promo_rolling_sum_4,23909.686777561903
promo_rolling_sum_8,20149.635772898793
promo_holiday,14691.713007837534
promo_lag_1,13731.16449958086
lag_7_missing,11980.401246488094
promo_lag_14,10792.040376126766
promo_weekend,9206.205069124699
is_month_end,7008.20333352685
lag_42_missing,5096.840317085385
lag_14_missing,1907.9440797567368
lag_35_missing,1170.881114155054
lag_28_missing,353.9616467654705
lag_30_missing,240.28682485222816
lag_16_missing,202.05282294750214
lag_17_missing,80.56571984291077
lag_1_missing,61.83839312195778
lag_21_missing,55.266077280044556
